 num     #instances         #bytes  class name (module)
 163:          2143          51432  org.spec.jbb.sm.tx.request.MoveInInventoryMessage
 164:           159          48336  java.util.concurrent.ForkJoinPool$WorkQueue (java.base)
 165:           595          47600  [Ljava.util.WeakHashMap$Entry; (java.base)
 166:           718          45952  java.lang.Class$ReflectionData (java.base)
 167:           565          45200  sun.nio.ch.EPollSelectorImpl (java.base)
 168:           116          43616  java.util.concurrent.ForkJoinWorkerThread (java.base)
 169:          2685          42960  org.spec.jbb.hq.tx.response.ProductReviewScoreResponse
 170:          1064          42560  java.util.zip.GZIPOutputStream (java.base)
 171:          1061          42440  org.glassfish.grizzly.WriteResult
 172:          1061          42440  org.glassfish.grizzly.impl.SafeFutureImpl$Sync
 173:           740          41440  java.util.LinkedHashMap (java.base)
 174:          2501          40016  org.spec.jbb.hq.tx.request.CustomerRatingProductResolveRequest
 175:          2501          40016  org.spec.jbb.hq.tx.response.CustomerRatingProductResolveResponse
 176:          2396          38336  org.spec.jbb.hq.tx.response.CustomerResolveResponse
 177:          2388          38208  org.spec.jbb.hq.tx.request.PurchaseReceiptMessage
 178:          1575          37800  java.util.concurrent.LinkedBlockingDeque$Node (java.base)
 179:          1575          37800  org.spec.jbb.core.objectpool.PerKeyQueuePool$LazyFactoryCall
 180:           576          36864  org.spec.jbb.sm.tx.UnreserveInventoryTransaction
 181:           654          36624  java.util.concurrent.ConcurrentHashMap$ValueIterator (java.base)
 182:          1066          34112  org.spec.jbb.core.threadpools.SettableFuture
 183:           622          33888  [Ljava.nio.ByteBuffer; (java.base)
 184:           699          33552  java.lang.invoke.MemberName (java.base)
 185:          1011          32352  java.util.Locale (java.base)
 186:          1010          32320  sun.util.locale.BaseLocale (java.base)
 187:          1340          32160  java.lang.Class$AnnotationData (java.base)
 188:           667          32016  org.glassfish.grizzly.attributes.UnsafeAttributeHolder
 189:           991          31712  sun.util.locale.BaseLocale$Key (java.base)
 190:           953          30496  java.util.ArrayList$SubList (java.base)
 191:          1226          29424  org.spec.jbb.hq.tx.request.FindCustomerZipRequest
 192:           595          28560  java.util.WeakHashMap (java.base)
 193:           593          28464  org.glassfish.grizzly.memory.HeapMemoryManager$HeapBufferThreadLocalPool
 194:           658          26320  org.spec.jbb.sm.entity.ShippingOrder
 195:           822          26304  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionNode (java.base)
 196:          1068          25632  org.spec.jbb.core.comm.connectivity.grizzlynio.Destination
 197:          1064          25536  java.util.zip.Deflater$DeflaterZStreamRef (java.base)
 198:          1061          25464  org.glassfish.grizzly.impl.SafeFutureImpl
 199:          1061          25464  org.spec.jbb.core.comm.connectivity.grizzlynio.GrizzlyNioClient
 200:          1060          25440  org.spec.jbb.infra.TransferLogsAgent$Frame
 201:          1060          25440  org.spec.jbb.infra.request.TransferLogChunkRequest
 202:          1056          25344  java.util.concurrent.FutureTask$WaitNode (java.base)
 203:           778          24896  com.sun.xml.bind.v2.runtime.Name
 204:           604          24160  java.security.AccessControlContext (java.base)
 205:           279          23344  [Lcom.sun.xml.bind.v2.util.QNameMap$Entry;
 206:           708          22656  java.lang.ThreadLocal$ThreadLocalMap$Entry (java.base)
 207:           939          22536  java.util.concurrent.ConcurrentLinkedQueue (java.base)
 208:           906          21744  javax.xml.namespace.QName (java.xml)
 209:           895          21480  org.spec.jbb.hq.tx.StoreOrderTransaction
 210:           666          21312  com.sun.xml.bind.v2.util.QNameMap$Entry
 211:           332          21248  com.sun.xml.bind.v2.model.impl.RuntimeElementPropertyInfoImpl
 212:           377          20600  [Ljava.lang.reflect.Method; (java.base)
 213:           640          20480  java.lang.ref.ReferenceQueue (java.base)
 214:           512          20480  org.spec.jbb.sm.InstallmentPurchase
 215:           252          20160  com.sun.xml.bind.v2.model.impl.RuntimeClassInfoImpl
 216:           252          20160  com.sun.xml.bind.v2.runtime.ClassBeanInfoImpl
 217:           840          20160  java.util.concurrent.ConcurrentLinkedDeque (java.base)
 218:           840          20160  org.spec.jbb.core.objectpool.SimplePool
 219:           500          20000  java.lang.invoke.MethodType (java.base)
 220:          1244          19904  org.spec.jbb.sm.tx.request.InStorePurchaseRequest
 221:           247          19760  jdk.internal.reflect.DelegatingClassLoader (java.base)
 222:           613          19616  org.spec.jbb.hq.tx.FindCustomerZipTransaction
 223:          1226          19616  org.spec.jbb.hq.tx.response.FindCustomerZipResponse
 224:           565          18080  org.glassfish.grizzly.threadpool.FixedThreadPool$BasicWorker
 225:           318          17808  java.lang.Module (java.base)
 226:          1064          17024  java.util.zip.CRC32 (java.base)
 227:          1061          16976  org.glassfish.grizzly.utils.Futures$FutureToCompletionHandler
 228:           501          16032  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry (java.base)
 229:           249          15936  org.spec.jbb.sm.tx.InstallmentPurchaseTransaction
 230:           208          15808  [Ljava.lang.ref.SoftReference; (java.base)
 231:           644          15456  java.lang.ThreadLocal$ThreadLocalMap (java.base)
 232:           642          15408  java.security.Provider$ServiceKey (java.base)
 233:           639          15336  org.spec.jbb.of.tx.ShippingOrderProcessTransaction
 234:           239          15296  java.security.Provider$Service (java.base)
 235:            28          14784  [Ljava.util.concurrent.atomic.AtomicLong; (java.base)
 236:           453          14496  java.util.Random (java.base)
 237:           895          14320  org.spec.jbb.hq.tx.request.StoreOrderMessage
 238:           890          14240  org.spec.jbb.sm.tx.request.OnlinePurchaseRequest
 239:           584          14016  com.sun.istack.FinalArrayList
 240:           576          13824  [Ljava.security.ProtectionDomain; (java.base)
 241:           576          13824  org.spec.jbb.sm.tx.request.UnreserveInventoryRequest
 242:           570          13680  java.util.concurrent.ConcurrentHashMap$KeySetView (java.base)
 243:           566          13584  java.lang.invoke.ResolvedMethodName (java.base)
 244:           562          13488  org.spec.jbb.core.comm.transport.TransportPipeline
 245:           332          13280  com.sun.xml.bind.v2.model.impl.RuntimeTypeRefImpl
 246:           542          13120  [Ljava.lang.reflect.Constructor; (java.base)
 247:           398          12736  java.lang.invoke.LambdaForm$Name (java.base)
 248:           252          12096  com.sun.xml.bind.v2.runtime.unmarshaller.StructureLoader
 249:           290          11736  [J (java.base)
